GK,Faced,SaveRate,Height
Leno,31,0.09677419354838712,1.9
Kasper Schmeichel,28,0.1428571428571429,1.89
Lukasz Fabianski,27,0.37037037037037035,1.9
Pickford,26,0.23076923076923073,1.85
Hugo Lloris,24,0.125,1.88
David de Gea,23,0.17391304347826086,1.9169565217391302
Sá,23,0.13043478260869568,1.92
Ederson,23,0.04347826086956519,1.8799999999999997
Emiliano Martínez,20,0.19999999999999996,1.95
Aaron Ramsdale,18,0.2222222222222222,1.8955555555555554
Foster,18,0.16666666666666663,1.9300000000000002
Illan Meslier,17,0.05882352941176472,1.9700000000000002
Nick Pope,17,0.23529411764705888,1.9594117647058824
Robert Sánchez,16,0.25,1.97
Martin Dubravka,16,0.125,1.90875
Areola,15,0.1333333333333333,1.95
Alisson,15,0.4666666666666667,1.93
Rui Patrício,15,0.2666666666666667,1.9
Sam Johnstone,15,0.2666666666666667,1.93
Mathew Ryan,13,0.0,1.84
Tim Krul,13,0.23076923076923073,1.9107692307692308
Neto,12,0.16666666666666663,1.8999999999999997
Vicente Guaita,11,0.18181818181818177,1.9
Edouard Mendy,10,0.09999999999999998,1.94
Alex McCarthy,10,0.0,1.9300000000000002
Raya,9,0.11111111111111116,1.8299999999999998
Angus Gunn,8,0.375,1.96
Dean Henderson,8,0.5,1.88
Fraser Forster,8,0.25,2.01
Foderingham,7,0.1428571428571429,1.85
Vicario,7,0.0,1.94
Neil Etheridge,7,0.4285714285714286,1.8800000000000001
Onana,6,0.0,1.8999999999999997
Kepa Arrizabalaga,6,0.16666666666666663,1.8816666666666666
Karl Darlow,6,0.16666666666666663,1.8999999999999997
Jonas Lössl,5,0.19999999999999996,1.95
Heaton,5,0.19999999999999996,1.8799999999999997
Trafford,5,0.0,1.97
Steele,5,0.19999999999999996,1.8799999999999997
Wayne Hennessey,4,0.25,1.96
Sergio Rico,4,0.0,1.96
Gazzaniga,4,0.25,1.9575
Keylor Navas,4,0.0,1.85
Kaminski,4,0.0,1.9
Asmir Begovic,3,0.0,1.99
Freddie woodman,3,0.33333333333333337,1.88
Ben Hamer,3,0.0,1.93
Artur Boruc,3,0.0,1.93
Verbruggen,3,0.0,1.9400000000000002
Pepe Reina,3,0.33333333333333337,1.88
Danny Ward,3,0.33333333333333337,1.91
Daniel Bacgmann,3,0.0,1.91
Joel Robles,3,0.33333333333333337,1.9400000000000002
Marcus Bettinelli,3,0.6666666666666667,1.93
Scott Carson,2,0.5,1.88
David Button,2,0.0,1.91
Flekken,2,0.0,1.95
Robin Olsen,2,0.5,1.96
Travers,2,0.0,1.91
Gavin Bazunu,2,0.5,1.88
Joe Hart,2,0.5,1.96
Daniel Iversen,2,0.0,1.91
Matt Turner,2,0.0,1.91
Muric,2,0.5,1.98
Petrovic,2,0.5,1.94
Alvaro Fernandez,1,0.0,1.85
Fahrmann,1,0.0,1.96
Jack Butland,1,1.0,1.92
Matz Sels,1,0.0,1.88
Randloph,1,0.0,1.88
Odysseas Vlachodimos,1,0.0,1.91
Roberto,1,0.0,1.91
Rodák,1,0.0,1.94
